Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
00952,7598,45,14991,8904,4128,54.33008686
00953,71174,38.4,29019,14771,20895,29.3576306
00956,63264,42.4,23127,13075,24676,39.00480526
00957,38198,41.3,26667,13864,12830,33.58814598
00959,46441,41.4,30466,16549,13832,29.78402705
00960,2205,33.3,-666666666,3306,40,1.814058957
00961,29743,44.3,29511,16906,9023,30.33654978
00962,19082,38.4,15497,10627,10358,54.28152185
00965,6709,48.8,15276,12815,3509,52.30287673
00966,15254,47.2,48163,33918,2950,19.33918972
00968,3448,57.2,49099,41280,579,16.79234339
00969,41941,42.1,50419,29145,7437,17.73205217
00971,25925,43.9,22480,15459,8805,33.96335583
00976,58640,40.9,32377,16538,17732,30.23874488
00979,16130,48.7,34701,30272,2852,17.68133912
00982,14346,44.8,24895,13184,5602,39.04921232
00983,33947,40.8,25750,14541,11674,34.38890034
00985,31682,43.6,26156,13515,10656,33.63424026
00987,54241,41.2,32555,17530,14987,27.6303903
01001,17312,46.1,63949,36540,1416,8.179297597
01002,30014,23.4,61159,30847,6447,21.47997601
01003,11357,19.9,2499,4378,69,0.607554812
01005,5128,48.1,67302,37464,427,8.326833073
01007,15005,42.3,91191,41753,907,6.044651783
01008,1140,54,76333,40146,48,4.210526316
01009,261,53.4,80714,35649,67,25.67049808
01010,3658,46.8,70063,36656,210,5.74084199
01011,1430,47.8,76500,32417,137,9.58041958
01012,585,54.1,67321,38399,43,7.35042735
01013,22733,35.7,43808,25552,4235,18.62930542
01020,30108,44.5,60561,31081,2781,9.236747708
01022,2586,33.6,46488,26787,546,21.1136891
01026,933,50.1,58438,32040,90,9.646302251
01027,17818,45,67119,37220,1533,8.603659221
01028,16242,45.5,87748,40984,751,4.623814801
01029,538,47.8,87727,41468,26,4.832713755
01030,11384,47,76000,38722,803,7.053759663
01031,1135,46.2,38173,29001,220,19.38325991
01032,495,54.6,68750,38179,39,7.878787879
01033,6322,47.5,96979,45998,238,3.764631446
01034,2186,46.6,87750,38136,190,8.691674291
01035,5319,48.9,74364,46151,349,6.561383719
01036,5178,51.5,91646,43369,130,2.510621862
01037,747,32.3,80556,37060,54,7.228915663
01038,2734,49.9,72045,40071,122,4.462326262
01039,1207,55,94191,51111,47,3.893951947
01040,40241,35.2,40769,23931,11471,28.50575284
01050,2438,45.8,67750,34872,209,8.572600492
01053,1593,54.8,60823,33144,312,19.58568738
01054,2001,47.5,90978,50069,131,6.546726637
01056,21291,44.1,73458,33412,1777,8.346249589
01057,8824,47.3,83008,39550,547,6.19900272
01060,15948,35.1,61798,38081,1966,12.32756458
01062,10364,47.2,75179,40428,1129,10.89347742
01063,611,20.4,-666666666,4081,0,0
01066,31,-666666666,-666666666,,0,0
01068,1833,49.3,88571,38660,81,4.41898527
01069,8556,46.5,63750,34502,638,7.456755493
